leto,država,točke
1994,Austria,19
1994,Bosnia & Herzegovina,39
1994,Croatia,27
1994,Cyprus,51
1994,Estonia,2
1994,Finland,11
1994,France,74
1994,Germany,128
1994,Greece,44
1994,Hungary,122
1994,Iceland,49
1994,Ireland,226
1994,Lithuania,0
1994,Malta,97
1994,Norway,76
1994,Poland,166
1994,Portugal,73
1994,Romania,14
1994,Russia,70
1994,Slovakia,15
1994,Spain,17
1994,Sweden,48
1994,Switzerland,15
1994,The Netherlands,4
1994,United Kingdom,63
1995,Austria,67
1995,Belgium,8
1995,Bosnia & Herzegovina,14
1995,Croatia,91
1995,Cyprus,79
1995,Denmark,92
1995,France,94
1995,Germany,1
1995,Greece,68
1995,Hungary,3
1995,Iceland,31
1995,Ireland,44
1995,Israel,81
1995,Malta,76
1995,Norway,148
1995,Poland,15
1995,Portugal,5
1995,Russia,17
1995,Slovenia,84
1995,Spain,119
1995,Sweden,100
1995,Turkey,21
1995,United Kingdom,76
1996,Austria,68
1996,Belgium,22
1996,Bosnia & Herzegovina,13
1996,Croatia,98
1996,Cyprus,72
1996,Estonia,94
1996,Finland,9
1996,France,18
1996,Greece,36
1996,Iceland,51
1996,Ireland,162
1996,Malta,68
1996,Norway,114
1996,Poland,31
1996,Portugal,92
1996,Slovakia,19
1996,Slovenia,16
1996,Spain,17
1996,Sweden,100
1996,Switzerland,22
1996,The Netherlands,78
1996,Turkey,57
1996,United Kingdom,77
1997,Austria,12
1997,Bosnia & Herzegovina,22
1997,Croatia,24
1997,Cyprus,98
1997,Denmark,25
1997,Estonia,82
1997,France,95
1997,Germany,22
1997,Greece,39
1997,Hungary,39
1997,Iceland,18
1997,Ireland,157
1997,Italy,114
1997,Malta,66
1997,Norway,0
1997,Poland,54
1997,Portugal,0
1997,Russia,33
1997,Slovenia,60
1997,Spain,96
1997,Sweden,36
1997,Switzerland,5
1997,The Netherlands,5
1997,Turkey,121
1997,United Kingdom,227
1998,Belgium,122
1998,Croatia,131
1998,Cyprus,37
1998,Estonia,36
1998,Macedonia,16
1998,Finland,22
1998,France,3
1998,Germany,86
1998,Greece,12
1998,Hungary,4
1998,Ireland,64
1998,Israel,172
1998,Malta,165
1998,Norway,79
1998,Poland,19
1998,Portugal,36
1998,Romania,6
1998,Slovakia,8
1998,Slovenia,17
1998,Spain,21
1998,Sweden,53
1998,Switzerland,0
1998,The Netherlands,150
1998,Turkey,25
1998,United Kingdom,166
1998,F.Y.R. Macedonia,0
1999,Austria,65
1999,Belgium,38
1999,Bosnia & Herzegovina,86
1999,Croatia,118
1999,Cyprus,2
1999,Denmark,71
1999,Estonia,90
1999,France,14
1999,Germany,140
1999,Iceland,146
1999,Ireland,18
1999,Israel,93
1999,Lithuania,13
1999,Malta,32
1999,Norway,35
1999,Poland,17
1999,Portugal,12
1999,Slovenia,50
1999,Spain,1
1999,Sweden,163
1999,The Netherlands,71
1999,Turkey,21
1999,United Kingdom,38
2000,Austria,34
2000,Belgium,2
2000,Croatia,70
2000,Cyprus,8
2000,Denmark,195
2000,Estonia,98
2000,Macedonia,29
2000,Finland,18
2000,France,5
2000,Germany,96
2000,Iceland,45
2000,Ireland,92
2000,Israel,7
2000,Latvia,136
2000,Malta,73
2000,Norway,57
2000,Romania,25
2000,Russia,155
2000,Spain,18
2000,Sweden,88
2000,Switzerland,14
2000,The Netherlands,40
2000,Turkey,59
2000,United Kingdom,28
2000,F.Y.R. Macedonia,0
2001,Bosnia & Herzegovina,29
2001,Croatia,42
2001,Denmark,177
2001,Estonia,198
2001,France,142
2001,Germany,66
2001,Greece,147
2001,Iceland,3
2001,Ireland,6
2001,Israel,25
2001,Latvia,16
2001,Lithuania,35
2001,Malta,48
2001,Norway,3
2001,Poland,11
2001,Portugal,18
2001,Russia,37
2001,Slovenia,70
2001,Spain,76
2001,Sweden,100
2001,The Netherlands,16
2001,Turkey,41
2001,United Kingdom,28
2002,Austria,26
2002,Belgium,33
2002,Bosnia & Herzegovina,33
2002,Croatia,44
2002,Cyprus,85
2002,Denmark,7
2002,Estonia,111
2002,Macedonia,25
2002,Finland,24
2002,France,104
2002,Germany,17
2002,Greece,27
2002,Israel,37
2002,Latvia,176
2002,Lithuania,12
2002,Malta,164
2002,Romania,71
2002,Russia,55
2002,Slovenia,33
2002,Spain,81
2002,Sweden,72
2002,Switzerland,15
2002,Turkey,29
2002,United Kingdom,111
2002,F.Y.R. Macedonia,0
2003,Austria,101
2003,Belgium,165
2003,Bosnia & Herzegovina,27
2003,Croatia,29
2003,Cyprus,15
2003,Estonia,14
2003,France,19
2003,Germany,53
2003,Greece,25
2003,Iceland,81
2003,Ireland,53
2003,Israel,17
2003,Lithuania,5
2003,Malta,4
2003,Norway,123
2003,Poland,90
2003,Portugal,13
2003,Romania,73
2003,Russia,164
2003,Slovenia,7
2003,Spain,81
2003,Sweden,107
2003,The Netherlands,45
2003,Turkey,167
2003,Ukraine,30
2003,United Kingdom,0
2003,Latvia,0
2004,Albania,106
2004,Austria,9
2004,Belgium,7
2004,Bosnia & Herzegovina,91
2004,Croatia,50
2004,Cyprus,170
2004,Macedonia,47
2004,France,40
2004,Germany,93
2004,Greece,252
2004,Iceland,16
2004,Ireland,7
2004,Malta,50
2004,Norway,3
2004,Poland,27
2004,Romania,18
2004,Russia,67
2004,Spain,87
2004,Sweden,170
2004,The Netherlands,11
2004,Turkey,195
2004,Ukraine,280
2004,United Kingdom,29
2004,Andorra,0
2004,Belarus,0
2004,Denmark,0
2004,Estonia,0
2004,F.Y.R. Macedonia,0
2004,Finland,0
2004,Israel,0
2004,Latvia,0
2004,Lithuania,0
2004,Monaco,0
2004,Portugal,0
2004,Serbia & Montenegro,0
2004,Slovenia,0
2004,Switzerland,0
2005,Albania,53
2005,Bosnia & Herzegovina,79
2005,Croatia,115
2005,Cyprus,46
2005,Denmark,125
2005,Macedonia,52
2005,France,11
2005,Germany,4
2005,Greece,230
2005,Hungary,97
2005,Israel,154
2005,Latvia,153
2005,Malta,192
2005,Moldova,148
2005,Norway,125
2005,Romania,158
2005,Russia,57
2005,Spain,28
2005,Sweden,30
2005,Switzerland,128
2005,Turkey,92
2005,Ukraine,30
2005,United Kingdom,18
2005,Andorra,0
2005,Austria,0
2005,Belarus,0
2005,Belgium,0
2005,Bulgaria,0
2005,Estonia,0
2005,F.Y.R. Macedonia,0
2005,Finland,0
2005,Iceland,0
2005,Ireland,0
2005,Lithuania,0
2005,Monaco,0
2005,Poland,0
2005,Portugal,0
2005,Serbia & Montenegro,0
2005,Slovenia,0
2005,The Netherlands,0
2006,Albania,0
2006,Armenia,129
2006,Bosnia & Herzegovina,229
2006,Croatia,56
2006,Denmark,26
2006,Macedonia,56
2006,Finland,292
2006,France,5
2006,Germany,36
2006,Greece,128
2006,Ireland,93
2006,Israel,4
2006,Latvia,30
2006,Lithuania,162
2006,Malta,1
2006,Moldova,22
2006,Norway,36
2006,Romania,172
2006,Russia,248
2006,Spain,18
2006,Sweden,170
2006,Switzerland,30
2006,Turkey,91
2006,Ukraine,145
2006,United Kingdom,25
2006,Andorra,0
2006,Belarus,0
2006,Belgium,0
2006,Bulgaria,0
2006,Cyprus,0
2006,Estonia,0
2006,F.Y.R. Macedonia,0
2006,Iceland,0
2006,Monaco,0
2006,Poland,0
2006,Portugal,0
2006,Serbia & Montenegro,0
2006,Slovenia,0
2006,The Netherlands,0
2007,Albania,0
2007,Armenia,138
2007,Belarus,145
2007,Bosnia & Herzegovina,106
2007,Bulgaria,157
2007,Macedonia,73
2007,Finland,53
2007,France,19
2007,Georgia,97
2007,Germany,49
2007,Greece,139
2007,Hungary,128
2007,Ireland,5
2007,Latvia,54
2007,Lithuania,28
2007,Moldova,109
2007,Romania,84
2007,Russia,207
2007,Serbia,268
2007,Slovenia,66
2007,Spain,43
2007,Sweden,51
2007,Turkey,163
2007,Ukraine,235
2007,United Kingdom,19
2007,Andorra,0
2007,Austria,0
2007,Belgium,0
2007,Croatia,0
2007,Cyprus,0
2007,Czech Republic,0
2007,Denmark,0
2007,Estonia,0
2007,F.Y.R. Macedonia,0
2007,Iceland,0
2007,Israel,0
2007,Malta,0
2007,Montenegro,0
2007,Norway,0
2007,Poland,0
2007,Portugal,0
2007,Switzerland,0
2007,The Netherlands,0
2008,Albania,55
2008,Armenia,199
2008,Azerbaijan,132
2008,Bosnia & Herzegovina,110
2008,Croatia,44
2008,Denmark,60
2008,Finland,35
2008,France,47
2008,Georgia,83
2008,Germany,14
2008,Greece,218
2008,Iceland,64
2008,Israel,124
2008,Latvia,83
2008,Norway,182
2008,Poland,14
2008,Portugal,69
2008,Romania,45
2008,Russia,272
2008,Serbia,160
2008,Spain,55
2008,Sweden,47
2008,Turkey,138
2008,Ukraine,230
2008,United Kingdom,14
2008,Andorra,0
2008,Belarus,0
2008,Belgium,0
2008,Bulgaria,0
2008,Cyprus,0
2008,Czech Republic,0
2008,Estonia,0
2008,F.Y.R. Macedonia,0
2008,Hungary,0
2008,Ireland,0
2008,Lithuania,0
2008,Malta,0
2008,Moldova,0
2008,Montenegro,0
2008,San Marino,0
2008,Slovenia,0
2008,Switzerland,0
2008,The Netherlands,0
2009,Albania,48
2009,Armenia,92
2009,Azerbaijan,207
2009,Bosnia & Herzegovina,106
2009,Croatia,45
2009,Denmark,74
2009,Estonia,129
2009,Finland,22
2009,France,107
2009,Germany,35
2009,Greece,120
2009,Iceland,218
2009,Israel,53
2009,Lithuania,23
2009,Malta,31
2009,Moldova,69
2009,Norway,387
2009,Portugal,57
2009,Romania,40
2009,Russia,91
2009,Spain,23
2009,Sweden,33
2009,Turkey,177
2009,Ukraine,76
2009,United Kingdom,173
2009,Andorra,0
2009,Belarus,0
2009,Belgium,0
2009,Bulgaria,0
2009,Cyprus,0
2009,Czech Republic,0
2009,F.Y.R. Macedonia,0
2009,Hungary,0
2009,Ireland,0
2009,Latvia,0
2009,Montenegro,0
2009,Poland,0
2009,Serbia,0
2009,Slovakia,0
2009,Slovenia,0
2009,Switzerland,0
2009,The Netherlands,0
2010,Albania,62
2010,Armenia,141
2010,Azerbaijan,145
2010,Belarus,18
2010,Belgium,143
2010,Bosnia & Herzegovina,51
2010,Cyprus,27
2010,Denmark,149
2010,France,82
2010,Georgia,136
2010,Germany,246
2010,Greece,140
2010,Iceland,41
2010,Ireland,25
2010,Israel,71
2010,Moldova,27
2010,Norway,35
2010,Portugal,43
2010,Romania,162
2010,Russia,90
2010,Serbia,72
2010,Spain,68
2010,Turkey,170
2010,Ukraine,108
2010,United Kingdom,10
2010,Bulgaria,0
2010,Croatia,0
2010,Estonia,0
2010,F.Y.R. Macedonia,0
2010,Finland,0
2010,Latvia,0
2010,Lithuania,0
2010,Malta,0
2010,Poland,0
2010,Slovakia,0
2010,Slovenia,0
2010,Sweden,0
2010,Switzerland,0
2010,The Netherlands,0
2011,Albania,0
2011,Austria,64
2011,Azerbaijan,221
2011,Bosnia & Herzegovina,125
2011,Denmark,134
2011,Estonia,44
2011,Finland,57
2011,France,82
2011,Georgia,110
2011,Germany,107
2011,Greece,120
2011,Hungary,53
2011,Iceland,61
2011,Ireland,119
2011,Italy,189
2011,Lithuania,63
2011,Moldova,97
2011,Romania,77
2011,Russia,77
2011,Serbia,85
2011,Slovenia,96
2011,Spain,50
2011,Sweden,185
2011,Switzerland,19
2011,Ukraine,159
2011,United Kingdom,100
2011,Armenia,0
2011,Belarus,0
2011,Belgium,0
2011,Bulgaria,0
2011,Croatia,0
2011,Cyprus,0
2011,F.Y.R. Macedonia,0
2011,Israel,0
2011,Latvia,0
2011,Malta,0
2011,Norway,0
2011,Poland,0
2011,Portugal,0
2011,San Marino,0
2011,Slovakia,0
2011,The Netherlands,0
2011,Turkey,0
2012,Albania,146
2012,Azerbaijan,150
2012,Bosnia & Herzegovina,55
2012,Cyprus,65
2012,Denmark,21
2012,Estonia,120
2012,Macedonia,71
2012,France,21
2012,Germany,110
2012,Greece,64
2012,Hungary,19
2012,Iceland,46
2012,Ireland,46
2012,Italy,101
2012,Lithuania,70
2012,Malta,41
2012,Moldova,81
2012,Norway,7
2012,Romania,71
2012,Russia,259
2012,Serbia,214
2012,Spain,97
2012,Sweden,372
2012,Turkey,112
2012,Ukraine,65
2012,United Kingdom,12
2012,Austria,0
2012,Belarus,0
2012,Belgium,0
2012,Bulgaria,0
2012,Croatia,0
2012,F.Y.R. Macedonia,0
2012,Finland,0
2012,Georgia,0
2012,Israel,0
2012,Latvia,0
2012,Montenegro,0
2012,Portugal,0
2012,San Marino,0
2012,Slovakia,0
2012,Slovenia,0
2012,Switzerland,0
2012,The Netherlands,0
2013,Albania,0
2013,Armenia,41
2013,Azerbaijan,234
2013,Belarus,48
2013,Belgium,71
2013,Denmark,281
2013,Estonia,19
2013,Finland,13
2013,France,14
2013,Georgia,50
2013,Germany,18
2013,Greece,152
2013,Hungary,84
2013,Iceland,47
2013,Ireland,5
2013,Italy,126
2013,Lithuania,17
2013,Malta,120
2013,Moldova,71
2013,Norway,191
2013,Romania,65
2013,Russia,174
2013,Spain,8
2013,Sweden,62
2013,The Netherlands,114
2013,Ukraine,214
2013,United Kingdom,23
2013,Austria,0
2013,Bulgaria,0
2013,Croatia,0
2013,Cyprus,0
2013,F.Y.R. Macedonia,0
2013,Israel,0
2013,Latvia,0
2013,Montenegro,0
2013,San Marino,0
2013,Serbia,0
2013,Slovenia,0
2013,Switzerland,0
2014,Albania,0
2014,Armenia,174
2014,Austria,290
2014,Azerbaijan,33
2014,Belarus,43
2014,Denmark,74
2014,Finland,72
2014,France,2
2014,Germany,39
2014,Greece,35
2014,Hungary,143
2014,Iceland,58
2014,Italy,33
2014,Malta,32
2014,Montenegro,37
2014,Norway,88
2014,Poland,62
2014,Romania,72
2014,Russia,89
2014,San Marino,14
2014,Slovenia,9
2014,Spain,74
2014,Sweden,218
2014,Switzerland,64
2014,The Netherlands,238
2014,Ukraine,113
2014,United Kingdom,40
2014,Belgium,0
2014,Estonia,0
2014,F.Y.R. Macedonia,0
2014,Georgia,0
2014,Ireland,0
2014,Israel,0
2014,Latvia,0
2014,Lithuania,0
2014,Moldova,0
2014,Portugal,0
2015,Albania,34
2015,Armenia,34
2015,Australia,196
2015,Austria,0
2015,Azerbaijan,49
2015,Belgium,217
2015,Cyprus,11
2015,Estonia,106
2015,France,4
2015,Georgia,51
2015,Germany,0
2015,Greece,23
2015,Hungary,19
2015,Israel,97
2015,Italy,292
2015,Latvia,186
2015,Lithuania,30
2015,Montenegro,44
2015,Norway,102
2015,Poland,10
2015,Romania,35
2015,Russia,303
2015,Serbia,53
2015,Slovenia,39
2015,Spain,15
2015,Sweden,365
2015,United Kingdom,5
2015,Belarus,0
2015,Czech Republic,0
2015,Denmark,0
2015,F.Y.R. Macedonia,0
2015,Finland,0
2015,Iceland,0
2015,Ireland,0
2015,Malta,0
2015,Moldova,0
2015,Portugal,0
2015,San Marino,0
2015,Switzerland,0
2015,The Netherlands,0
2016,Albania,0
2016,Armenia,124
2016,Australia,255
2016,Austria,75
2016,Azerbaijan,58
2016,Belgium,90
2016,Bulgaria,153
2016,Croatia,36
2016,Cyprus,48
2016,Czech Republic,20
2016,France,128
2016,Georgia,52
2016,Germany,5
2016,Hungary,54
2016,Israel,67
2016,Italy,62
2016,Latvia,66
2016,Lithuania,100
2016,Malta,76
2016,Poland,114
2016,Russia,245
2016,Serbia,57
2016,Spain,38
2016,Sweden,130
2016,The Netherlands,76
2016,Ukraine,267
2016,United Kingdom,31
2016,Belarus,0
2016,Bosnia & Herzegovina,0
2016,Denmark,0
2016,Estonia,0
2016,F.Y.R. Macedonia,0
2016,Finland,0
2016,Greece,0
2016,Iceland,0
2016,Ireland,0
2016,Moldova,0
2016,Montenegro,0
2016,Norway,0
2016,San Marino,0
2016,Slovenia,0
2016,Switzerland,0
2017,Albania,0
2017,Armenia,39
2017,Australia,86
2017,Austria,46
2017,Azerbaijan,60
2017,Belarus,41
2017,Belgium,181
2017,Bulgaria,307
2017,Croatia,64
2017,Cyprus,34
2017,Denmark,38
2017,France,67
2017,Germany,3
2017,Greece,38
2017,Hungary,100
2017,Israel,19
2017,Italy,167
2017,Moldova,187
2017,Norway,79
2017,Poland,32
2017,Portugal,379
2017,Romania,141
2017,Spain,2
2017,Sweden,172
2017,The Netherlands,75
2017,Ukraine,18
2017,United Kingdom,55
2017,Czech Republic,0
2017,Estonia,0
2017,F.Y.R. Macedonia,0
2017,Finland,0
2017,Georgia,0
2017,Iceland,0
2017,Ireland,0
2017,Latvia,0
2017,Lithuania,0
2017,Malta,0
2017,Montenegro,0
2017,San Marino,0
2017,Serbia,0
2017,Slovenia,0
2017,Switzerland,0
2018,Albania,92
2018,Australia,49
2018,Austria,171
2018,Bulgaria,83
2018,Cyprus,218
2018,Czech Republic,140
2018,Denmark,113
2018,Estonia,122
2018,Finland,23
2018,France,86
2018,Germany,170
2018,Hungary,46
2018,Ireland,68
2018,Israel,264
2018,Italy,154
2018,Lithuania,90
2018,Moldova,104
2018,Norway,72
2018,Portugal,19
2018,Serbia,56
2018,Slovenia,32
2018,Spain,30
2018,Sweden,137
2018,The Netherlands,60
2018,Ukraine,65
2018,United Kingdom,24
2018,Armenia,0
2018,Azerbaijan,0
2018,Belarus,0
2018,Belgium,0
2018,Croatia,0
2018,F.Y.R. Macedonia,0
2018,Georgia,0
2018,Greece,0
2018,Iceland,0
2018,Latvia,0
2018,Malta,0
2018,Montenegro,0
2018,Poland,0
2018,Romania,0
2018,Russia,0
2018,San Marino,0
2018,Switzerland,0
2019,Malta,53
2019,Italy,236
2019,Spain,27
2019,Israel,17
2019,United Kingdom,5
2019,Australia,142
2019,Russia,185
2019,Switzerland,182
2019,Norway,165
2019,Sweden,167
2019,Azerbaijan,151
2019,Macedonia,152
2019,Iceland,116
2019,Czech Republic,78
2019,Denmark,60
2019,Slovenia,52
2019,France,52
2019,Cyprus,54
2019,Serbia,44
2019,Albania,45
2019,Estonia,38
2019,San Marino,38
2019,Greece,37
2019,Germany,12
2019,Belarus,15
2019,The Netherlands,249
2019,Armenia,0
2019,North Macedonia,0
2019,Austria,0
2019,Belgium,0
2019,Croatia,0
2019,Finland,0
2019,Georgia,0
2019,Hungary,0
2019,Ireland,0
2019,Latvia,0
2019,Lithuania,0
2019,Moldova,0
2019,Montenegro,0
2019,Poland,0
2019,Portugal,0
2019,Romania,0
